url,perc,count
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",12,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",15,2
"https://berthub.eu/articles/posts/how-tech-loses-out/",47,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",12,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",20,2
"https://berthub.eu/articles/posts/how-tech-loses-out/",55,9
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",38,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",40,5
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",46,6
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",33,11
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",72,27
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",49,15
"https://berthub.eu/articles/posts/how-tech-loses-out/",0,1
"https://berthub.eu/articles/posts/dont-ruin-the-root/",33,2
"https://berthub.eu/articles/posts/amazing-dna/",5,9
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",53,16
"https://berthub.eu/articles/posts/history-of-powerdns-2013-2020-business/",34,10
"https://berthub.eu/articles/posts/europes-software-problem/",17,1
"https://berthub.eu/articles/posts/europes-software-problem/",57,5
"-",55,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",7,3
"https://berthub.eu/articles/posts/europes-software-problem/",50,4
"https://berthub.eu/articles/posts/history-of-powerdns-2013-2020-business/",73,19
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",10,1
"https://berthub.eu/articles/posts/corona-delta-update/",29,2
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",7,1
"https://berthub.eu/articles/posts/corona-delta-update/",4,1
"https://berthub.eu/articles/posts/reed-solomon-for-programmers/",16,4
"https://berthub.eu/articles/posts/what-is-life/",75,1
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",22,4
"https://berthub.eu/articles/posts/corona-delta-update/",23,1
"https://berthub.eu/articles/posts/ingenieria_inversa_del_codigo_fuente_de_la_vacuna_de_biontech_pfizer_para_el_sars-cov-2/",44,7
"https://berthub.eu/articles/posts/corona-delta-update/",17,1
"https://berthub.eu/articles/posts/corona-delta-update/",51,3
